,ANNUAL CANADIAN LIQUID HYDROCARBON PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/62,1962.0,26707.0,28364.0,496363.0,509988.0,177177.0,179390.0,10756.0,1635.0,3107.0,25.0,0.0,0.0,4768.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,668670.0,47100.0
1/1/63,1963.0,36614.0,38297.0,519107.0,535287.0,196015.0,198572.0,10328.0,1673.0,3302.0,19.0,0.0,0.0,4994.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,706701.0,60358.0
1/1/64,1964.0,34060.0,35996.0,545186.0,573285.0,223094.0,225869.0,12064.0,1579.0,3403.0,13.0,0.0,0.0,4994.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,749509.0,69890.0
1/1/65,1965.0,39570.0,41863.0,576221.0,617762.0,241102.0,243880.0,13549.0,1767.0,3504.0,13.0,0.0,0.0,5284.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,799231.0,76494.0
1/1/66,1966.0,48339.0,50627.0,631516.0,682585.0,255959.0,258954.0,14322.0,2000.0,3623.0,19.0,0.0,0.0,5642.0,0.0,0.0,,,,,,,,,,,,,,,,,,12.0,,,875250.0
1/1/67,1967.0,56723.0,59466.0,713613.0,771465.0,254229.0,257734.0,15297.0,1944.0,3397.0,25.0,0.0,0.0,5365.0,1239.0,0.0,,,,,,,,45.0,,,,,,,,,,,109.0,,
1/1/68,1968.0,63271.0,65815.0,788087.0,853839.0,251833.0,255529.0,16945.0,2057.0,3145.0,19.0,0.0,0.0,5221.0,14146.0,0.0,,,,,,,,125.0,,,,,,,,,,,197.0,,
1/1/69,1969.0,72109.0,74150.0,914214.0,988286.0,240391.0,243686.0,16989.0,2195.0,3183.0,19.0,0.0,0.0,5397.0,27626.0,0.0,,,,,,,,249.0,,,,,,,,,,,328.0,,
1/1/70,1970.0,72417.0,74414.0,1052455.0,1143615.0,246172.0,249315.0,16184.0,2315.0,2868.0,25.0,0.0,0.0,5208.0,32809.0,0.0,,19.0,,,,,,,392.0,,,,,,,,,,,488.0,
1/1/71,1971.0,72228.0,74384.0,1144673.0,1249464.0,243410.0,246618.0,15348.0,2573.0,2623.0,25.0,0.0,0.0,5221.0,42237.0,0.0,,102.0,,,,,,,480.0,,,,,,,,,,,591.0,
1/1/72,1972.0,68152.0,70401.0,1372925.0,1505445.0,237705.0,240676.0,14354.0,2428.0,2396.0,25.0,0.0,0.0,4850.0,50924.0,0.0,,322.0,,,160.0,,,,,697.0,,,,,,,,,,,835.0
1/1/73,1973.0,61472.0,64905.0,1647043.0,1794204.0,235969.0,238833.0,13920.0,2636.0,2214.0,25.0,0.0,0.0,4875.0,50081.0,,,,595.0,,,430.0,,,,,963.0,,,,,,,,,,
1/1/74,1974.0,54962.0,58319.0,1567619.0,1716321.0,203047.0,205486.0,13008.0,2736.0,2013.0,19.0,0.0,0.0,4768.0,45735.0,,,,520.0,,,363.0,,,,,843.0,,,,,,,,,,
1/1/75,1975.0,42564.0,45811.0,1357502.0,1513750.0,162527.0,164717.0,12089.0,2755.0,1931.0,19.0,0.0,0.0,4705.0,43187.0,,,,310.0,,,163.0,,,,,579.0,,,,,,,,,,
1/1/76,1976.0,43860.0,47272.0,1232129.0,1385049.0,153514.0,155555.0,10882.0,2447.0,1698.0,13.0,0.0,0.0,4158.0,48295.0,,,,176.0,,,46.0,,,,,444.0,,,,,,,,,,
1/1/77,1977.0,41426.0,44918.0,1225248.0,1384264.0,168654.0,170672.0,10863.0,2371.0,1692.0,13.0,0.0,0.0,4076.0,45389.0,,,,171.0,,,42.0,,,,,450.0,,,,,,,,,,
1/1/78,1978.0,37652.0,40968.0,1213429.0,1380308.0,166616.0,168674.0,10309.0,2510.0,1642.0,13.0,0.0,0.0,4164.0,56214.0,,,,149.0,,,34.0,,,,,432.0,,,,,,,,,,
1/1/79,1979.0,40615.0,44023.0,1395720.0,1613489.0,162244.0,164182.0,10051.0,2447.0,1585.0,13.0,0.0,0.0,4044.0,91130.0,,,,294.0,,,180.0,,,,,612.0,,,,,,,,,,
1/1/80,1980.0,37337.0,40186.0,1326913.0,1551650.0,161005.0,162697.0,9687.0,2761.0,1610.0,6.0,0.0,0.0,4378.0,128052.0,,,,189.0,,,86.0,,,,,539.0,,,,,,,,,,
1/1/81,1981.0,37665.0,40231.0,1202107.0,1426664.0,127888.0,129143.0,9353.0,2988.0,1547.0,6.0,0.0,0.0,4541.0,108188.0,,,,80.0,,,,,,,381.0,,,,,,,,,,,609.0
1/1/82,1982.0,38463.0,41194.0,1159750.0,1377568.0,140110.0,141265.0,10033.0,2988.0,1478.0,6.0,0.0,0.0,4472.0,103395.0,,,,34.0,,,,,,,352.0,,,,,,,,,,,574.0
1/1/83,1983.0,38086.0,40550.0,1217845.0,1436305.0,164760.0,167453.0,12700.0,2919.0,1440.0,6.0,0.0,0.0,4365.0,148872.0,,,,43.0,,,,,,,437.0,,,,,,,,,,,661.0
1/1/84,1984.0,38495.0,40939.0,1290274.0,1536007.0,186442.0,189575.0,13630.0,3000.0,1554.0,0.0,0.0,0.0,4554.0,133738.0,33394.0,1123142.0,1029189.0,93954.0,1533395.0,,2444.0,245733.0,3133.0,,1784706.0,,1268813.0,97451.0,33394.0,133738.0,1218748.0,251311.0,,167132.0,1617574.0,1218748.0
1/1/85,1985.0,36111.0,38505.0,1299181.0,1541407.0,200632.0,203678.0,14190.0,18945.0,1937.0,0.0,0.0,0.0,20883.0,164899.0,52213.0,1082069.0,982184.0,99885.0,1570997.0,,2394.0,242226.0,3046.0,,1818663.0,,1251013.0,102872.0,52213.0,164899.0,1345634.0,247666.0,,217112.0,1601551.0,1345634.0
1/1/86,1986.0,37539.0,43130.0,1293155.0,1519117.0,201953.0,204407.0,14203.0,26324.0,2334.0,0.0,0.0,0.0,28657.0,184869.0,93230.0,1015055.0,914748.0,100307.0,1575507.0,,5592.0,225962.0,2454.0,,1809514.0,,1193746.0,103660.0,93230.0,184869.0,1215458.0,234008.0,,278100.0,1531415.0,1215458.0
1/1/87,1987.0,39589.0,46013.0,1353143.0,1615732.0,207897.0,210555.0,13511.0,27003.0,2290.0,6.0,0.0,0.0,29299.0,180460.0,115994.0,1056689.0,950740.0,105949.0,1643439.0,,6424.0,262590.0,2658.0,,1915110.0,,1236723.0,110262.0,115994.0,180460.0,1320788.0,271672.0,,296454.0,1618656.0,1320788.0
1/1/88,1988.0,36218.0,43050.0,1430629.0,1703200.0,211004.0,213763.0,13222.0,30985.0,3277.0,6.0,0.0,0.0,34268.0,200097.0,129687.0,1100844.0,990807.0,110037.0,1725341.0,,6832.0,272571.0,2758.0,,2007502.0,,1280716.0,114840.0,129687.0,200097.0,1530509.0,282162.0,,329785.0,1677718.0,1530509.0
1/1/89,1989.0,37080.0,44684.0,1388662.0,1666035.0,200821.0,203487.0,12486.0,32331.0,4202.0,0.0,0.0,0.0,36532.0,205085.0,128800.0,1054776.0,940997.0,113780.0,1675581.0,,7605.0,277373.0,2666.0,,1963224.0,,1222738.0,118957.0,128800.0,205085.0,1635175.0,287644.0,,333886.0,1629339.0,1635175.0
1/1/90,1990.0,37652.0,44902.0,1367503.0,1659405.0,211539.0,214096.0,12750.0,32142.0,4258.0,0.0,0.0,0.0,36400.0,208363.0,135380.0,1023760.0,912874.0,110886.0,1665844.0,,7250.0,291902.0,2557.0,,1967553.0,,1206132.0,115969.0,135380.0,208363.0,1649275.0,301709.0,,343742.0,1623811.0,1649275.0
1/1/91,1991.0,39419.0,46961.0,1363163.0,1668311.0,214483.0,216984.0,12310.0,33199.0,4057.0,0.0,0.0,0.0,37256.0,226113.0,122580.0,1014470.0,897652.0,116818.0,1666630.0,,7541.0,305149.0,2501.0,,1981821.0,,1195781.0,122157.0,122580.0,226113.0,1788090.0,315191.0,,348692.0,1633129.0,1788090.0
1/1/92,1992.0,40835.0,48866.0,1405532.0,1726531.0,230245.0,232996.0,11303.0,32633.0,3856.0,0.0,0.0,9907.0,36488.0,236787.0,126523.0,1042222.0,913817.0,128404.0,1734310.0,,8031.0,320999.0,2750.0,,2066090.0,,1236030.0,134970.0,126523.0,236787.0,1962982.0,331780.0,,363310.0,1702780.0,1962982.0
1/1/93,1993.0,41030.0,50456.0,1458022.0,1810053.0,258506.0,261319.0,10951.0,31821.0,4365.0,0.0,0.0,17505.0,36186.0,243379.0,132436.0,1082207.0,940009.0,142198.0,1822200.0,,9426.0,352031.0,2812.0,,2186470.0,,1296868.0,149517.0,132436.0,243379.0,2183772.0,364269.0,,375815.0,1810655.0,2183772.0
1/1/94,1994.0,40495.0,49548.0,1505512.0,1877594.0,296643.0,299549.0,11353.0,30739.0,4535.0,0.0,0.0,22631.0,35274.0,261765.0,134587.0,1109160.0,951205.0,157954.0,1911908.0,,9053.0,372082.0,2906.0,,2295950.0,,1350281.0,165275.0,134587.0,261765.0,2358161.0,384041.0,,396352.0,1899598.0,2358161.0
1/1/95,1995.0,42014.0,51696.0,1548353.0,1963751.0,322381.0,325573.0,11096.0,29890.0,4919.0,0.0,0.0,21386.0,34809.0,279119.0,148564.0,1120670.0,954614.0,166056.0,1980039.0,,9682.0,415398.0,3192.0,,2408311.0,,1378349.0,174007.0,148564.0,279119.0,2460607.0,428272.0,,427682.0,1980628.0,2460607.0
1/1/96,1996.0,45570.0,55824.0,1562581.0,1989944.0,360342.0,363592.0,10548.0,28733.0,4604.0,0.0,0.0,17776.0,33337.0,280421.0,163351.0,1118809.0,941349.0,177460.0,2030153.0,,10254.0,427364.0,3251.0,,2471022.0,,1400154.0,186227.0,163351.0,280421.0,2571691.0,440868.0,,443772.0,2027250.0,2571691.0
1/1/97,1997.0,52688.0,64410.0,1643722.0,2049211.0,404900.0,408861.0,10970.0,27305.0,3799.0,0.0,0.0,13322.0,31104.0,289478.0,237919.0,1116324.0,910213.0,206111.0,2156705.0,,11722.0,405489.0,3961.0,,2577878.0,,1413402.0,215905.0,237919.0,289478.0,2611771.0,421173.0,,527398.0,2050480.0,2611771.0
1/1/98,1998.0,57156.0,72179.0,1654811.0,2062616.0,399736.0,403843.0,10926.0,26915.0,3768.0,0.0,0.0,81663.0,30683.0,307971.0,282000.0,1064840.0,857755.0,207086.0,2234974.0,,15023.0,407805.0,4107.0,,2661909.0,,1425081.0,219922.0,282000.0,307971.0,2677589.0,426935.0,,589971.0,2071938.0,2677589.0
1/1/99,1999.0,50152.0,57446.0,1556448.0,2006397.0,375463.0,379915.0,10014.0,26695.0,4208.0,0.0,0.0,105829.0,30903.0,323407.0,244209.0,988832.0,784816.0,204016.0,2128809.0,,7294.0,449949.0,4453.0,,2590504.0,,1344304.0,216889.0,244209.0,323407.0,2760326.0,461695.0,,567616.0,2022888.0,2760326.0
1/1/00,2000.0,55251.0,86489.0,1548541.0,1998941.0,418285.0,422512.0,10680.0,24644.0,3975.0,0.0,0.0,144261.0,28620.0,319796.0,288397.0,940349.0,747648.0,192700.0,2205638.0,,31238.0,450400.0,4227.0,,2691503.0,,1390022.0,207423.0,288397.0,319796.0,2855803.0,485865.0,,608193.0,2083311.0,2855803.0
1/1/01,2001.0,54944.0,86356.0,1551674.0,1971104.0,428368.0,431960.0,11077.0,24682.0,4265.0,0.0,0.0,148740.0,28947.0,348774.0,309399.0,893501.0,719217.0,174283.0,2223748.0,,31413.0,419430.0,3592.0,,2678183.0,,1377091.0,188485.0,309399.0,348774.0,2904586.0,454435.0,,658173.0,2020010.0,2904586.0
1/1/02,2002.0,53202.0,85949.0,1573211.0,2013284.0,422260.0,425784.0,11215.0,23720.0,3755.0,0.0,0.0,285855.0,27475.0,441143.0,302612.0,829456.0,660563.0,168893.0,2373218.0,,32748.0,440073.0,3524.0,,2849563.0,,1446531.0,182932.0,302612.0,441143.0,2901685.0,476345.0,,743755.0,2105808.0,2901685.0
1/1/03,2003.0,54536.0,86296.0,1588568.0,2003301.0,420707.0,424671.0,10907.0,22109.0,3409.0,0.0,0.0,336892.0,25519.0,454367.0,349161.0,785040.0,629111.0,155929.0,2437128.0,,31760.0,414733.0,3964.0,,2887585.0,,1464408.0,169192.0,349161.0,454367.0,2815382.0,450457.0,,803528.0,2084058.0,2815382.0
1/1/04,2004.0,50705.0,79834.0,1790890.0,2251779.0,423845.0,427976.0,10957.0,21229.0,2629.0,0.0,0.0,313619.0,23858.0,643981.0,373030.0,773880.0,599666.0,174214.0,2613875.0,,29129.0,460888.0,4131.0,,3108024.0,,1408625.0,188240.0,373030.0,643981.0,2842464.0,494149.0,,1017010.0,2091014.0,2842464.0
1/1/05,2005.0,45735.0,75589.0,1708543.0,2164967.0,420103.0,424176.0,13895.0,18782.0,2371.0,0.0,0.0,304857.0,21153.0,546088.0,419465.0,742990.0,571160.0,171830.0,2514286.0,,29855.0,456424.0,4073.0,,3004637.0,,1363048.0,185685.0,419465.0,546088.0,2861038.0,490352.0,,965553.0,2039085.0,2861038.0
1/1/06,2006.0,41820.0,75639.0,1836675.0,2301535.0,429443.0,433288.0,18971.0,18656.0,2151.0,0.0,0.0,303669.0,20807.0,655739.0,460067.0,720870.0,542894.0,177976.0,2651385.0,,33819.0,464860.0,3845.0,,3153909.0,,1342957.0,192623.0,460067.0,655739.0,2865835.0,502524.0,,1115806.0,2038103.0,2865835.0
1/1/07,2007.0,38564.0,70755.0,1890861.0,2343824.0,429695.0,433533.0,22216.0,17524.0,1887.0,19.0,0.0,368449.0,19430.0,686782.0,499116.0,704963.0,524302.0,180661.0,2769215.0,,32190.0,452963.0,3838.0,,3258206.0,,1388196.0,195122.0,499116.0,686782.0,2828008.0,488991.0,,1185898.0,2072309.0,2828008.0
1/1/08,2008.0,35110.0,67377.0,1876642.0,2298009.0,440250.0,444508.0,23575.0,16184.0,1692.0,25.0,0.0,342207.0,17901.0,654867.0,547437.0,674339.0,502760.0,171579.0,2735685.0,,32268.0,421367.0,4258.0,,3193578.0,,1346811.0,186571.0,547437.0,654867.0,2719419.0,457892.0,,1202303.0,1991274.0,2719419.0
1/1/09,2009.0,34643.0,66579.0,1967638.0,2373260.0,423902.0,429313.0,26204.0,15530.0,1516.0,38.0,0.0,267621.0,17084.0,760521.0,588124.0,618993.0,460787.0,158206.0,2737092.0,,31936.0,405621.0,5411.0,,3180060.0,,1215671.0,172777.0,588124.0,760521.0,2533636.0,442968.0,,1348645.0,1831415.0,2533636.0
1/1/10,2010.0,35538.0,68196.0,2106170.0,2462059.0,422317.0,428622.0,32287.0,15033.0,1447.0,31.0,0.0,275873.0,16511.0,797372.0,696643.0,612156.0,460095.0,152061.0,2888696.0,,32658.0,355889.0,6306.0,,3283549.0,,1225266.0,169416.0,696643.0,797372.0,2455032.0,394853.0,,1494014.0,1789534.0,2455032.0
1/1/11,2011.0,36932.0,71261.0,2273707.0,2639023.0,431884.0,438572.0,41300.0,10492.0,1359.0,88.0,0.0,266501.0,11938.0,850750.0,786101.0,636856.0,491350.0,145507.0,3062263.0,,34329.0,365316.0,6688.0,,3468596.0,,1259068.0,166344.0,786101.0,850750.0,2420081.0,406332.0,,1636851.0,1831745.0,2420081.0
1/1/12,2012.0,39200.0,75326.0,2527819.0,2888465.0,471090.0,478790.0,52553.0,13008.0,1390.0,75.0,0.0,197223.0,14473.0,915211.0,912717.0,699891.0,556567.0,143324.0,3302357.0,,36127.0,360646.0,7700.0,,3706830.0,,1306910.0,167519.0,912717.0,915211.0,2370147.0,404473.0,,1827928.0,1878902.0,2370147.0
1/1/13,2013.0,41270.0,80438.0,2699984.0,3082315.0,487613.0,495634.0,50829.0,11265.0,1208.0,50.0,0.0,229006.0,12523.0,935419.0,1028957.0,735608.0,582333.0,153275.0,3521227.0,,39167.0,382331.0,8020.0,,3950746.0,,1374958.0,181893.0,1028957.0,935419.0,2383868.0,429519.0,,1964376.0,1986369.0,2383868.0
1/1/14,2014.0,49365.0,93481.0,2734981.0,3113276.0,515740.0,524824.0,49165.0,11053.0,1175.0,43.0,0.0,216036.0,12271.0,935419.0,1028957.0,770604.0,589371.0,181233.0,3577558.0,,44116.0,378296.0,9084.0,,4009054.0,,1394442.0,218740.0,1028957.0,935419.0,2484525.0,431496.0,,1964376.0,2044678.0,2484525.0
1/1/15,2015.0,45974.0,89388.0,3129450.0,3521440.0,488169.0,500060.0,46170.0,9962.0,956.0,35.0,0.0,171712.0,10952.0,975055.0,1405941.0,748454.0,529443.0,219012.0,3892427.0,,43414.0,391990.0,11892.0,,4339722.0,,1255729.0,255703.0,1405941.0,975055.0,2535020.0,447295.0,,2380996.0,1958726.0,2535020.0
1/1/16,2016.0,54738.0,106188.0,3121922.0,3554301.0,461809.0,477542.0,40108.0,8971.0,905.0,29.0,0.0,209691.0,9905.0,931641.0,1489068.0,701213.0,443952.0,257261.0,3898173.0,,51450.0,432379.0,15733.0,,4397735.0,,1174526.0,302938.0,1489068.0,931641.0,2568060.0,499562.0,,2420709.0,1977026.0,2568060.0
1/1/17,2017.0,59462.0,116165.0,3422414.0,3885852.0,487560.0,503125.0,38734.0,286.0,925.0,26.0,0.0,220745.0,1237.0,1026480.0,1647808.0,748126.0,445923.0,302203.0,4230152.0,,56703.0,463438.0,15565.0,,4765859.0,,1196078.0,359786.0,1647808.0,1026480.0,2607493.0,535706.0,,2674288.0,2091570.0,2607493.0
1/1/18,2018.0,121479.0,199632.0,3719483.0,4204912.0,490941.0,490941.0,42031.0,,,,,230226.0,2224.0,1056337.0,1855427.0,807719.0,489264.0,318455.0,4606857.0,,78153.0,485429.0,0.0,,5170439.0,,1275442.0,419178.0,1855427.0,1056337.0,2693441.0,563583.0,,2911764.0,2258675.0,2693441.0
1/1/19,2019.0,111075.0,192492.0,3771611.0,4282561.0,489895.0,489895.0,44116.0,,,,,261698.0,8040.0,1110622.0,1837212.0,823777.0,487022.0,336756.0,4686435.0,,81417.0,510949.0,0.0,,5278802.0,,1306931.0,431670.0,1837212.0,1110622.0,2617779.0,592366.0,,2947834.0,2330968.0,2617779.0
1/1/20,2020.0,112085.0,185856.0,3588605.0,4092964.0,437704.0,437704.0,37949.0,,,,,284210.0,5836.0,1116246.0,1718206.0,754153.0,423166.0,330987.0,4466388.0,,73771.0,504359.0,0.0,,5044519.0,,1202449.0,429487.0,1718206.0,1116246.0,2571196.0,578131.0,,2834452.0,2210067.0,2571196.0
1/1/21,2021.0,111287.0,194749.0,3879669.0,4391508.0,447030.0,447030.0,36723.0,,,,,257523.0,6125.0,1180578.0,1920250.0,778841.0,435875.0,342966.0,4738358.0,,83462.0,511839.0,0.0,,5333658.0,,1194939.0,442591.0,1920250.0,1180578.0,2685442.0,595301.0,,3100828.0,2232830.0,2685442.0
1/1/22,2022.0,109305.0,202172.0,4018715.0,4555267.0,456930.0,456930.0,38011.0,,,,,230907.0,6085.0,1167911.0,1994601.0,856203.0,491221.0,364982.0,4859953.0,,92867.0,536552.0,0.0,,5489372.0,,1234544.0,462898.0,1994601.0,1167911.0,2884055.0,629418.0,,3162511.0,2326860.0,2884055.0
1/1/23,2023.0,113234.0,204077.0,4116496.0,4663480.0,457097.0,457097.0,38518.0,,,,,200114.0,4537.0,1222086.0,2006274.0,888137.0,519194.0,368943.0,4929995.0,,90844.0,546984.0,0.0,,5567824.0,,1228702.0,472934.0,2006274.0,1222086.0,2988331.0,637828.0,,3228359.0,2339464.0,2988331.0
1/1/24,2024.0,138735.0,243479.0,4288179.0,4859963.0,452130.0,452130.0,37043.0,,,,,208898.0,4360.0,1271364.0,2087076.0,929739.0,536965.0,392774.0,5129344.0,,104744.0,571784.0,0.0,,5805871.0,,1250350.0,520554.0,2087076.0,1271364.0,3058313.0,676528.0,,3358440.0,2447432.0,3058313.0
1/1/25,2025.0,151101.0,260331.0,4334464.0,4941247.0,437951.0,437951.0,33509.0,,,,,232804.0,4089.0,1242339.0,2126097.0,966029.0,559477.0,406552.0,5100223.0,,109230.0,606783.0,0.0,,5816237.0,,1279093.0,546391.0,2126097.0,1242339.0,3174399.0,716013.0,,3368435.0,2447801.0,3174399.0
1/1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
